Device Type,Weight,Size,Resolution,PPI,Ethernet,Speed,Generation,Solid State Drive,Laptop Brand,Price,OS,Warranty,Touch,Anti Glare Screen,Camera,Optical Drive,Processor,Brand,RAM,USB Type-C,USB 3.0,USB 2.0,Max Speed
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.0,12,512,MSI,15082114.5,Windows 11 Home,2,0,1,1,0,Intel Core i7,NVIDIA,8 GB DDR4,1,2,1,4.7
Netbook,2.2,15.6,2560 x 1440 pixels,188,1,3.0,12,1024,ASUS,23189764.5,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR5,1,2,0,4.7
Netbook,2.65,15.6,1920 x 1080 pixels,141,1,2.6,11,512,Dell,13143254.85,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,3,4,2,2.6
Netbook,2.3,15.6,1920 x 1080 pixels,141,0,3.3,5,512,ASUS,18100611.45,Windows 11 Home,1,0,1,1,0,AMD Ryzen 9,NVIDIA,16 GB DDR4,0,4,0,4.6
Netbook,2.48,16.1,1920 x 1080 pixels,137,0,3.3,5,512,HP,10745464.5,Windows 10 Home,1,0,1,1,0,AMD Ryzen 5,AMD,8 GB DDR4,0,2,0,4.2
Netbook,2.69,15.6,1920 x 1080 pixels,141,0,3.0,12,512,Dell,41815487.7,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR5,1,3,0,4.7
Netbook,2.51,15.6,1920 x 1080 pixels,141,0,3.2,6,1024,Dell,29998305.0,Windows 11 Home,1,0,1,1,0,AMD Ryzen 7,NVIDIA,16 GB DDR5,1,3,0,4.7
Netbook,2.3,15.6,1920 x 1080 pixels,141,1,2.5,11,256,Lenovo,11216839.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,8 GB DDR4,1,2,0,3.2
Netbook,2.37,15.6,1920 x 1080 pixels,137,1,3.3,5,512,HP,13762264.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,2,0,4.2
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,2.2,11,512,Lenovo,15082114.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,2,0,4.5
Netbook,2.23,16.1,2560 x 1440 pixels,182,1,3.3,11,1024,HP,23566864.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 9,AMD,16 GB DDR4,1,3,0,3.3
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.1,11,512,Lenovo,12480124.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,2,0,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.3,12,512,MSI,14516464.5,Windows 11 Home,2,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,2,1,4.4
Netbook,2.6,17.32,1920 x 1080 pixels,127,1,2.3,11,512,MSI,14327914.5,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB,1,2,1,4.6
Netbook,2.3,15.6,2560 x 1440 pixels,188,1,3.0,12,512,Gigabyte,27337864.5,Windows 11 Home,2,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR4,1,3,0,4.7
Netbook,2.59,16.0,1920 x 1200 pixels,142,1,3.0,12,512,Lenovo,19795864.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,3,0,4.7
Netbook,2.2,15.6,1920 x 1080 pixels,141,1,3.3,5,512,Acer,11876764.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,1,0,4.2
Netbook,2.35,15.6,1920 x 1080 pixels,141,1,3.2,5,512,MSI,15082114.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 7,AMD,8 GB DDR4,1,2,1,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.3,12,512,Lenovo,15082114.5,Windows 11 Home,1,0,1,1,0,Intel Core i5,NVIDIA,16 GB DDR4,1,2,0,4.4
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.2,5,512,Lenovo,13856539.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 7,NVIDIA,8 GB DDR4,1,2,0,4.4
Netbook,2.3,15.6,1920 x 1080 pixels,137,1,4.7,12,512,HP,18484499.25,Windows 11 Home,1,0,1,1,0,Intel Core i7,NVIDIA,16 GB DDR4,1,1,0,4.7
Netbook,2.25,15.6,1920 x 1080 pixels,141,1,3.3,5,256,Lenovo,9991264.5,Windows 11 Home,1,0,1,1,0,AMD Ryzen 5,NVIDIA,8 GB DDR4,1,2,0,4.2
