,Laptop Brand,Price,Country of Origin,Series,Model,Utility,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Aspect Ratio,Anti Glare Screen,Features,Ethernet,WiFi,Bluetooth,USB Ports,HDMI,Fingerprint Sensor,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Touchpad,Inbuilt Microphone,Speakers,Sound,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,RAM,Solid State Drive,Sales Package,Security Lock Port,Chipset,Dedicated Memory,Maximum RAM Supported,Battery,Adapter Type,Other Features,USB Port Details,Battery Backup,RAM Slots,Hard Disk Capacity,Hard Disk Speed,Hard Disk Interface,Card Reader,RAM Bus Speed,Included Software,Thunderbolt,Optane Memory,Rear Camera,GPU Clock Speed,VGA,Optical Drive Speed
222,Asus,"₹88,900",,Core i5,10300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),,,1 year Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 45% NTSC Color Gamut, 16:9 Aspect Ratio, 144 Hz Refresh Rate, 170 Degree Viewing Angle, 1:1000 Contrast Ratio, 67% sRGB, 50% Adobe)",10/100/1000 Mbps,IEEE 802.11ax (Wi-Fi 6),v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0b Port,,Yes,Yes,Yes,"Chiclet Backlit RGB Keyboard, Yes",Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 1.5 W Speaker,No,Intel Core i5,"2.5 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM470,GDDR6 4 GB,Upto 32 GB,3 Cell Battery,150 W AC Adapter,"48 WHr Li-ion Battery, BIOS Administrator Password and User Password Protection",,,2,,,,,3200 MHz,,,,,,,
223,Asus,"₹89,990",,Ryzen 7,4800HS,"Gaming, Performance",Netbook,Windows 10 (64-bit),,,1 year Warranty,FHD,No,14 inches,1920 x 1080 pixels,~ 141,16:9,Yes,"120Hz Refresh Rate, 100% sRGB, Pantone Validated, Adaptive sync, 85% screen-to-body ratio",No,Wi-Fi 6 ,v5,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0b Port,,Yes,Yes,Yes,,Yes,Yes,Built-in Array Microphone,2x 2.5W Speaker ,Smart AMP Technology,No,AMD Ryzen 7,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,Nvidia,,NVIDIA GeForce GTX 1650Ti,16 GB DDR4,512 GB,"Laptop, AC Adapter, User Guide, Manuals, ROG sleeve for G14",,,4 GB,Upto 24 GB,4 Cell Battery,,,,,2,,,,,3200 MHz,,,,,,,
224,Asus,"₹69,990",,AMD Ryzen 7 4800H,4600H,Gaming,Ultrabook,Windows 10 Home Basic (64-bit),,,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED-backlit IPS-level Panel with 45 Percentage NTSC and Adaptive Sync Technology Display,No,802.11 a/b/g/n/ac,v5,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Chiclet Keyboard with Isolated Numpad Key,Yes,with Multi-Touch Gestures Enabled,Array Microphone,Dual Speakers,,No,AMD Ryzen 5,"3 GHz, Octa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650 Ti,16 GB DDR4,512 GB,,Yes,,4 GB,Upto 32 GB,3 Cell Battery,,,,,2,,,,,3200 MHz,,,,,,,
225,Asus,"₹1,30,990",,Core i7,10750H,Gaming,,Windows 10 Home Basic (64-bit),360 x 275 x 25.8 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Display,No,802.11 b/g/n/ax,v5,No USB Port,,,Yes,Yes,Yes,Chiclet Keyboard,Yes,with Multi-Touch Gestures Enabled,Built-in Microphone,Dual Speakers,,No,Intel Core i7-10750H ,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce RTX 2060,16 GB DDR4,1 TB,,,,6 GB,,3 Cell Battery,,,,,1,,,,,,,,,,,,
226,Asus,"₹1,02,990",,AMD Ryzen 7 4800H,4800H,Gaming,Ultrabook,Windows 10 Home Basic (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 45% NTSC, 16:9 Aspect Ratio, 1000:1 Contrast, 62.5% sRGB, 47.1% Adobe, 170/170 Viewing Angle) Display",No,802.11 a/b/g/n/ac,v5,1 x USB 2.0,,,Yes,Yes,Yes,Chiclet RGB Keyboard,Yes,with Multi-Touch Gestures Enabled,Array Microphone,Dual Speakers,,No,AMD Ryzen 7 4800H,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1660 Ti,8 GB DDR4,512 GB,,Yes,,6 GB,Upto 32 GB,3 Cell Battery,,,,,2,1 TB,,,,3200 MHz,,,,,,,
227,Asus,"₹2,02,014",,Core i7,9750H,Gaming,,Windows 10 Home Basic (64-bit),399 x 293 x 26.5 mm,2.85 kg,1 year Warranty,LED,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 16:9 Aspect Ratio, 800:1 Contrast Ratio, 45% NTSC, 67% sRGB, 50% Adobe, 170 Degree Viewing Angle, 16 ms Response Time (G2G) Display",No,802.11 a/b/g/n/ac,v5,No USB Port,,,Yes,Yes,Yes,Illuminated Chiclet RGB Keyboard,Yes,with Multi-Touch Gestures Enabled,Array Microphone,Dual Speakers,,No,Intel Core i7-9750H ,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1660,16 GB DDR4,512 GB,,,,6 GB,Upto 32 GB,3 Cell Battery,,,,,1,,,,,2666 MHz,,,,,,,
228,Asus,"₹3,99,990",,Core i9,9980HK,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),425 x 319 x 47.5 mm,4.7 kg,1 year Onsite Warranty,LED ,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit IPS Display (Support 144 Hz Refresh Rate with G-sync Enabled),10/100/1000 Mbps,IEEE 802.11ac,v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,Illuminated Chiclet Per-Key RGB Keyboard,Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,"Smart Amp Speakers, ESS Hi-Fi DAC",No,Intel Core i9,"2.4 GHz, Octa Core Turbo Boost Upto 5 GHz",16 MB,NVIDIA,9th Gen,NVIDIA Geforce RTX 2080,32 GB DDR4,512 GB,"Laptop, Power Adaptor, Laptop Bag, Gaming Headset, Gaming Mouse, User Guide, Warranty Documents",Kensington Lock Slot,Intel HM370 Express,GDDR6 8 GB,Upto 64 GB,8 Cell Battery,560W AC Adapter,Li-ion Battery,,,2,1 TB,5400 RPM,,SD Card Reader,2666 MHz,"GameFirst, Sonic Studio and Sonic Radar III, Aura, XSplit Gamecaster",,,,,,
229,Dell,"₹2,16,990",,Core i7,9750H,Gaming,Netbook,Windows 10 (64-bit),363.22 x 274.32 x 20.32 mm,2.18 kg,1 year Warranty,IPS,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,,,Yes,v5,2 x USB 3.0,1 x HDMI 2.0 Port,,Yes,Yes,Yes,,Yes,All-points addressable (APA) trackpad,Yes,,,No,Intel,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,Nvidia,9th Gen,GeForce RTX 2060 ,16 GB DDR4,1 TB,,,,GDDR6 6 GB,Upto 32 GB,6 Cell Battery,,,,Upto 10 hours,,,,,,2666 MHz,,Yes,,,,,
230,Asus,"₹1,09,999",,Core i7,10750H,Gaming,,Windows 10 Home Basic (64-bit),360 x 275 x 25.8 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 1:1000 Contrast Ratio, 45% NTSC Color Gamut, 67% sRGB, 50% Adobe)",,802.11 b/g/n/ax,v5.1,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,No,Chiclet Keyboard (4-Zone RGB),Yes,with Multi-Touch Gestures Enabled,Built-in Microphone,Dual Speakers,,No,Intel Core i7-10750H ,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1660 Ti,16 GB DDR4,1 TB,,,Intel HM470,6 GB,Upto 32 GB,4 Cell Battery,,,,,2,,,,,2933 MHz,,,,,,,
231,Asus,"₹84,990",,AMD Ryzen 7 4800H,4800H,Gaming,Ultrabook,Windows 10 Home Basic (64-bit),359 x 256 x 24.9 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (250 nits Brightness, 45% NTSC, 16:9 Aspect Ratio, 1000:1 Contrast, 62.5% sRGB, 47.1% Adobe, 170/170 Viewing Angle)",No,802.11 a/b/g/n/ac,v5,1 x USB 2.0,,,Yes,Yes,Yes,Chiclet RGB Keyboard,Yes,with Multi-Touch Gestures Enabled,Array Microphone,Stereo Speakers,,No,AMD Ryzen 7 4800H,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1660 Ti,16 GB DDR4,512 GB,,Yes,,6 GB,Upto 32 GB,3 Cell Battery,,,,,2,1 TB,5400 RPM,SATA,,3200 MHz,,,,,,,
232,Dell,"₹2,75,000",,Core i7,9700K ,Gaming,Netbook,Windows 10 Home (64-bit),541 x 495 x 137 mm,3.87 kg,1 year Warranty,IPS,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,"144Hz,  NVIDIA G-SYNC + Tobii Eyetracking Technology","10/100/1000/2500 Base-T, IPv6",Killer Wireless 1550 2x2 AC,v5,"1 x USB Type-C, 2 x USB 3.0",1 x HDMI 2.0 Port,,Yes,Global Headset Jack,Alienware HD Camera,TactX keyboard,Yes,"AlienFX Backlit, All-points Addressable Trackpad",Dual-array Integrated Microphones,2.0 Speaker configuration,7.1 Digital Audio out using HDMI out connection,No,Intel Core i7-9700K,"3.6 GHz, Octa Core Turbo Boost Upto 4.9 GHz",12 MB,NVIDIA,9th Gen,NVIDIA RTX 2080,16 GB DDR4,512 GB,,Wedge-Shaped Lock slot,,8 GB,Upto 64 GB,,Dual A/C Adapter Options,,,Upto 4.5 hours,2,1 TB,,PCIe M.2,Yes,2666 MHz,,Yes,,,,,
233,Asus,"₹54,500",,Core i5,1035G1,Gaming,Ultrabook,Windows 10 Home Basic (64-bit),357.2 x 230.4 x 19.9 mm,1.7 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Display,No,802.11 a/b/g/n/ac,v4.2,"1 x USB Type-C, 2 x USB 3.0, 2 x USB 2.0",,Yes,Yes,Yes,Yes,Standard Notebook Keyboard,,with Multi-Touch Gestures Enabled,Internal Microphone,Dual Speakers,,No,Intel Core i5-1035G1 ,"1 GHz, Quad Core Turbo Boost Upto 3.6 GHz",6 MB,NVIDIA,10th Gen,NVIDIA GeForce MX330,8 GB DDR4,256 GB,,,,2 GB,,2 Cell Battery,,,,,2,1 TB,5400 RPM,SATA,Yes,3200 MHz,,,,,,,
234,Asus,"₹68,990",,AMD Ryzen 5 4600H,4600H,Gaming,Ultrabook,Windows 10 Home Basic (64-bit),359.8 x 256 x 25 mm,2.3 kg,1 year Warranty,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED-backlit IPS-level Panel with 45 Percentage NTSC and Adaptive Sync Technology,,802.11 a/b/g/n/ac,v5,"3 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,Chiclet Keyboard with Isolated Numpad Key,Yes,with Multi-Touch Gestures Enabled,Array Microphone,Dual Speakers,,No,AMD Ryzen 5 4600H,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,NVIDIA,4th Gen,NVIDIA GeForce GTX 1650 ,8 GB DDR4,256 GB,,Yes,,4 GB,Upto 32 GB,3 Cell Battery,,,,,2,1 TB,5400 RPM,SATA,,3200 MHz,,,,,,,
235,Asus,"₹1,06,840",,Ryzen 7 ,4800H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 252 x 19.9 mm,2.1 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (300 nits Brightness, 240 Hz Refresh Rate, 3ms Response Time (G2G) 178/178 Degree Viewing Angle, 1000:1 Contrast Ratio, 72% Color Gamut, 100% sRGB, 75.35% Adobe)",10/100/1000 Mbps,IEEE 802.11ax (Wi-Fi 6),v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,No,"Backlit Chiclet Keyboard, Yes",Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,"2 x 1 W Speaker with Smart AMP Technology, Smart Amp",No,AMD Ryzen 7 ,"2.9 GHz, Octa Core Turbo Boost Upto 4.2 GHz",8 MB,NVIDIA,4th Gen,NVIDIA Geforce GTX 1660 Ti with Max-Q Design,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,,GDDR6 6 GB,Upto 24 GB,4 Cell Battery,180 W AC Adapter,"76 WHr Li-ion Battery, BIOS Administrator Password and User Password Protection",,,,,,,,3200 MHz,,,,,,,
236,HP,"₹1,52,990",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),357.9 x 239.7 x 22.5 mm,2.45 kg,1 year Onsite Warranty,WLED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD WLED Backlit IPS Display (300 nits Brightness, 100% sRGB Color Gamut, 300 Hz Refresh Rate)",Integrated 10/100/1000 Gigabit LAN,Intel Wi-Fi 6 AX 201 (2x2),v5,"1 x USB Type-C, 1 x USB 2.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,"Full-size Island-style 4-zone RGB Backlit Shadow Black Keyboard (26-Key Rollover Anti-Ghosting Key Technology), Yes",Yes,Multi-touch Gesture Support,Integrated Dual Array Digital Microphone,Built-in Dual Speakers,Audio by Bang & Olufsen,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce RTX 2070 with Max-Q Design,16 GB DDR4,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 8 GB,,6 Cell Battery,,"70.9 WHr Li-ion Polymer Battery with Fast Charge Support, Miracast Compatible, Omen Tempest Cooling Technology",,,2,,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2933 MHz,"HP Documentation, HP e-service, HP BIOS Recovery, HP SSRM, HP Jumpstarts, HP Audio Switch, HP Audio Boost, HP Support Assistant",,,,,,
237,Asus,"₹1,03,990",,Core i7,10750H,Gaming,Netbook,Windows 10 Home Basic (64-bit),360 x 275 x 21 mm,2 kg,1 Year,LED,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Display,,802.11 b/g/n/ax,v5,2 x USB 3.0,1 x HDMI 2.0 Port,,Yes,Yes,No,Chiclet Keyboard,Yes,Multi-Touch Gestures Enabled,Array Microphone,Dual Speakers,,No,Intel Core i7-10750H ,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650Ti,16 GB DDR4,1 TB,,,,4 GB,,3 Cell Battery,,,,,1,,,,,3200 MHz,,,,,,,
238,Dell,"₹1,03,790",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),254 x 366 x 22 mm,2.3 kg,1 year Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display,,IEEE 802.11ac,v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI v2.0 Port,Yes,Yes,Yes,Yes,"English International , Yes",Yes,Yes,Built-in Microphone,Built-in Speakers,Waves Maxx Audio,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1660 Ti,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,,GDDR6 6 GB,,3 Cell Battery,,Li-ion Battery,,Upto 6 hours,2,,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2933 MHz,Microsoft Office Home and Student 2019,,,,,,
239,Acer,"₹65,190",,Core i5,10300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),363.4 x 255 x 23.9 mm,2.3 kg,1 year Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,16:9,No,Full HD LED Backlit ComfyView IPS Display ( 45% NTSC Color Gamut),10/100/1000 Mbps (Killer Ethernet E2600),IEEE 802.11a/b/g/n/ac/ax (2x2),v5,"1 x USB Type-C, 1 x USB 3.0",1 x HDMI v2.0 Port,,Yes,Yes,Yes,"FineTip RGB with Independent Standard Numeric Keypad (International Language Support), Yes",Yes,Multi-gesture Touchpad,Built-in Dual Microphone,Built-in Speakers,"DTS X: Ultra Audio, Acer TrueHarmony Technology",No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 4.5 GHz",8 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,8 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,Intel HM470,GDDR6 4 GB,Upto 32 GB,4 Cell Battery,135 W AC Adapter,57.5 WHr Li-ion Battery,,Upto 10 hours,2,1 TB,7200 RPM,,,2933 MHz,"Acer Care Center, Acer Product Registration",,,,,,
240,MSI,"₹67,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,"Full HD LED Backlit IPS Display (60 Hz Refresh Rate, 45% NTSC Color Gamut)",Yes,Intel Wireless-AC 9560 (2x2 ac),v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Single Backlight Keyboard (Red),Yes,Yes,Built-in Microphone,Built-in Dual Speakers,2 x 2 W Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650 Ti with Max-Q,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,Intel HM370,GDDR6 4 GB,,3 Cell Battery,120 W AC Adapter,51 WHr Li-ion Battery,,Upto 7 hours,,,,,,2666 MHz,"Cooler Boost 5, Audio Boost, Dragon Center, Nahimic 3",,,,,,
241,Acer,"₹49,990",,Ryzen 5 ,3550H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),363.4 x 254.5 x 23.25 mm,2.15 kg,1 year Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,No,"Full HD LED Backlit IPS ComfyView Display (16:9 Aspect Ratio, 72% NTSC Color Gamut, 300 nits Brightness)","Gigabit Ethernet, Wake-on LAN Ready",IEEE 802.11a/b/g/n/ac/ax (2x2),v5,"1 x USB Type-C, 2 x USB 3.0, 1 x USB 2.0",1 x HDMI Port,,Yes,Yes,Yes,"FineTip with Independent Standard Numeric Keypad (International Language Support), Yes",Yes,Multi-touch Touchpad,Built-in Dual Microphone,Built-in Dual Speakers,Stereo Speakers,No,AMD Ryzen 5 ,"2.1 GHz, Quad Core Turbo Boost Upto 3.7 GHz",2 MB,NVIDIA,,NVIDIA Geforce GTX 1650,8 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,,GDDR6 4 GB,,3 Cell Battery,135 W AC Adapter,48 WHrs Li-ion Battery,,Upto 7 hours,2,,,,,,"Acer Collection, Acer Product Registration, Acer Care Center, Quick Access",,,,,,
242,MSI,"₹74,990",,Core i7,9750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),397 x 260 x 23.1 mm,2.2 kg,2 years Warranty,LED ,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,Full HD LED Backlit IPS Thin Bezel Display (144 Hz Refresh Rate),Yes,Intel Wireless-AC 9560 (2x2 ac),v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Backlight Keyboard (Single Color - Red),Yes,Yes,Built-in Microphone,Built-in Dual Speakers,"2 x 2 W Speakers, Hi-Res Audio",No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650,16 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 4 GB,,3 Cell Battery,150 W AC Adapter,51 WHr Li-ion Battery,,,,1 TB,,,,2666 MHz,"Matrix Display, Dragon Center, Cooler Boost 5, True Color 2.0, Nahimic 3",,,,,,
243,MSI,"₹52,990",,Core i5,9300H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,2 years Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Thin Bezel Display,Yes,Intel Wireless-AC 9560 (2x2 ac),v5,"1 x USB Type-C, 3 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Backlight Keyboard (Single Color - Red),Yes,Yes,Built-in Microphone,Built-in Dual Speakers,"2 x 2 W Speakers, Hi-Res Audio",No,Intel Core i5,"2.4 GHz, Quad Core Turbo Boost Upto 4.1 GHz",8 MB,NVIDIA,9th Gen,NVIDIA Geforce GTX 1650 with Max-Q,8 GB DDR4,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 4 GB,,3 Cell Battery,120 W AC Adapter,51 WHr Li-ion Battery,,,,1 TB,,,,2666 MHz,"Matrix Display, Dragon Center, Cooler Boost 5, True Color 2.0, Nahimic 3",,,,,,
244,Dell,"₹91,990",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),254 x 366 x 22 mm,2.3 kg,1 year Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,Full HD LED Backlit IPS Display (120 Hz Refresh Rate),Yes,IEEE 802.11ac (Wi-Fi 5),v5,"1 x USB 3.0, 2 x USB 2.0",1 x HDMI v2.0 Port,Yes,Yes,Yes,Yes,"English International , Yes",Yes,Yes,Built-in Microphone,Built-in Speaker,Waves Maxx Audio,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce GTX 1650 Ti,16 GB DDR4,256 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock Slot,,GDDR6 4 GB,,3 Cell Battery,,Li-ion Battery,,Upto 6 hours,2,1 TB,,,"3-in-1 Card Reader (SD, SDHC, SDXC)",2933 MHz,Microsoft Office Home and Student 2019,,,,,,
245,Asus,"₹1,82,900",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),399 x 272 x 18.7 mm,2.6 kg,1 year Onsite Warranty,LED ,No,17.3 inches,1920 x 1080 pixels,~ 127,,Yes,"Full HD LED Backlit IPS Display with G-Sync (300 nits Brightness, 72% NTSC Color Gamut, 144 Hz Refresh Rate, 3 ms Response Time (G2G) 800:1 Contrast Ratio, 100% sRGB, 75.35% Adobe, Pantone Validated)",No,IEEE 802.11ax (Wi-Fi 6),v5.1,"1 x USB Type-C, 2 x USB 3.0, 3 x USB 2.0",1 x HDMI v2.0b Port,,Yes,Yes,No,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Yes,Built-in Array Microphone,Built-in Dual Speakers,2 x 2.5 W Speaker with Smart Amp Technology,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce RTX 2060,16 GB DDR4,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock,Intel HM470,GDDR6 6 GB,,4 Cell Battery,,"76 WHrs Li-ion Battery, BIOS Administrator Password and User Password Protection",,,,,,,,,,,,,,,
246,Asus,"₹1,28,990",,Core i7,10750H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),360 x 252 x 19.9 mm,1.9 kg,1 year Onsite Warranty,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,"Full HD LED Backlit IPS Display (300 nits Brightness, 72% NTSC Color Gamut, 240 Hz Refresh Rate, 3 ms Response Time (G2G) 178/178 Viewing Angle, 1000:1 Contrast Ratio, 100% sRGB, 75.36% Adobe, Pantone Validated)",10/100/1000 Mbps,IEEE 802.11ax (Wi-Fi 6),v5.1,"1 x USB Type-C, 1 x USB 3.0, 3 x USB 2.0",1 x HDMI v2.0b Port,,Yes,Yes,No,"Chiclet Backlit RGB Keyboard, Yes",Yes,Yes,Built-in Array Microphone,Built-in Speaker,"ESS, Smart Amp Technology",No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA Geforce RTX 2060,16 GB DDR4,1 TB,"Laptop, Power Adaptor, User Guide, Warranty Documents",Kensington Lock,Intel HM470,GDDR6 6 GB,Upto 32 GB,4 Cell Battery,230 W AC Adapter,"76 WHrs Li-ion Battery, BIOS Administrator Password and User Password Protection",,,,,,,,,,,,,,,
247,MSI,"₹69,490",,Ryzen 5 ,4600H,"Gaming, Performance",Netbook,Windows 10 Home (64-bit),359 x 254 x 21.7 mm,1.86 kg,1 year Warranty,Full HD LED Backlit IPS Display (144 Hz Refresh Rate),No,15.6 inches,1920 x 1080 pixels,~ 141,,Yes,,Yes,Intel AX200 (2x2) 6),v5.1,"2 x USB Type-C, 2 x USB 3.0",1 x HDMI Port,,Yes,Yes,Yes,Backlight Keyboard (Single Red Color),Yes,Yes,Built-in Microphone,Built-in Dual Speakers,2 x 2 W Speakers,No,AMD Ryzen 5 ,"3 GHz, Hexa Core Turbo Boost Upto 4 GHz",8 MB,AMD,4th Gen,AMD Radeon RX 5500M,16 GB DDR4,512 GB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,GDDR6 4 GB,,3 Cell Battery,180 W AC Adapter,51 WHr Li-ion Battery,,,,,,,,3200 MHz,"Cooler Boost, Audio Boost, Dragon Center, Nahimic 3",,,,,,
