Laptop Brand,Price,Series,Device Type,OS,Dimensions,Weight,Warranty,Type,Touch,Size,Resolution,PPI,Anti Glare Screen,Features,Ethernet,HDMI,Microphone In,Headphone Jack,Camera,Keyboard,Keyboard Backlit,Inbuilt Microphone,Speakers,Optical Drive,Processor,Speed,Cache,Brand,Generation,GPU,Dedicated Memory,RAM,Solid State Drive,Battery,Sales Package,USB Type-C,USB 3.0,USB 2.0
ASUS,24808277.700000003,Ryzen 7 ,Netbook,Windows 11 Home,299 x 222 x 16.9 mm,1.3 kg,1,UHD+ LED-Backlit LCD,Yes,13.4 inches,3840 x 2400 pixels,~ 338,No,"60Hz Refresh Rate, Touch Screen, IPS-level, Brightness 450nits, Contrast 1000:1, NTSC 82%, SRGB 116%, Adobe 86%, DCI-P3 85%, Glossy display",No,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard Single Light, Yes",Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,32 GB LPDDR5,1 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",1,1,0
ASUS,73909714.5,Ryzen 9 ,Netbook,Windows 11 Home,355 x 266 x 21 mm,2.6 kg,1,"QHD+ LED-Backlit LCD, ",No,16 inches,2560 x 1600 pixels,~ 189,Yes,"165Hz Refresh Rate, Response Time 3ms, Touch Screen, Mini LED, Brightness 1100nits, Contrast 100, 000:1, DCI-P3 100%, Glossy display",,1 x HDMI 2.1 Port,Yes,,Yes,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 9,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3080 Ti,GDDR6 16 GB,32 GB DDR5,2 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",1,2,0
ASUS,27714964.5,Ryzen 7 ,Netbook,Windows 11 Home,,,1,LED,No,14 inches,1920 x 1200 pixels,~ 216,Yes,144Hz. IPS-level Pantone Validated,No,1 x HDMI 2.0b Port,Yes,Yes,Yes,"Backlit Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,AMD,6th Gen,AMD Radeon RX 6700S,GDDR6 8 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Sleeve",2,2,0
ASUS,29977564.5,Ryzen 7 ,Netbook,Windows 11 Home,,,1,LED,No,14 inches,2560 x 1600 pixels,~ 216,Yes,120Hz. IPS-level Pantone Validated,No,1 x HDMI 2.0b Port,Yes,Yes,Yes,"Backlit Chiclet Keyboard, Yes",Yes,Built-in Array Microphone,Built-in Speaker,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,AMD,6th Gen,AMD Radeon RX 6700S,GDDR6 8 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Sleeve",2,2,0
ASUS,32238279.000000004,Ryzen 7 ,Netbook,Windows 11 Home,355 x 243 x 21.9 mm,2 kg,1,"QHD+ LED-Backlit LCD, ",Yes,16 inches,2560 x 1600 pixels,~ 189,No,"165Hz Refresh Rate, Response Time 3ms, Touch Screen, IPS-level, Brightness 500nits, Contrast 1200:1, DCI-P3 100%, Glossy display",No,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",1,2,0
ASUS,68253214.5,Ryzen 9 ,Netbook,Windows 11 Home,355 x 266 x 21 mm,2.5 kg,1,FHD+ LED-Backlit,No,16 inches,1920 x 1200 pixels,~ 142,Yes,"165Hz Refresh Rate, Response Time 3ms, IPS-level, Brightness 500nits, Contrast 1200:1, DCI-P3 100, display",,1 x HDMI 2.1 Port,Yes,,Yes,Backlit Chiclet Keyboard Per-Key RGB,Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 9,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3080 Ti,GDDR6 16 GB,32 GB DDR5,2 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",2,2,0
ASUS,45646069.5,Ryzen 7 ,Netbook,Windows 11 Home,355 x 266 x 21 mm,2.5 kg,1,"FHD+ LED-Backlit LCD, ",No,16 inches,1920 x 1200 pixels,~ 142,Yes,"165Hz Refresh Rate, Response Time 3ms, IPS-level, Brightness 500nits, Contrast 1200:1, DCI-P3 100, display",,1 x HDMI 2.1 Port,Yes,,Yes,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,32 GB DDR5,2 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",2,2,0
ASUS,74852464.5,Ryzen 9 ,Netbook,Windows 11 Home,355 x 266 x 21 mm,2.55 kg,1,"UHD+ LED-Backlit LCD, ",No,16 inches,3840 x 2400 pixels,~ 283,Yes,"120Hz Refresh Rate at UHD+ / 240Hz Refresh Rate at FHD+ , Response Time 3ms, IPS-level, Brightness 500nits, Contrast 1200:1, DCI-P3 100, display",,1 x HDMI 2.1 Port,Yes,,Yes,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Built-in Microphone,Built-in Speakers,No,AMD Ryzen 9,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3080 Ti,GDDR6 16 GB,32 GB DDR5,2 TB,4 Cell Battery,"Laptop, Battery, Adapter, Cables and User Manuals",1,2,0
ASUS,36013050.0,Ryzen 9 ,Netbook,Windows 11 Home,355 x 199 x 24.3 mm,1.9 kg,1,WQHD,No,15.6 inches,2560 x 1440 pixels,~ 188,No,,10/100/1000/2500 Mbps,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in array microphone,Built in Speakers,No,AMD Ryzen 9,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3070Ti,GDDR6 8 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",2,2,0
HP,14348655.0,Core i5,Netbook,Windows 11 Home,322 x 210 x 19.9 mm,1.51 kg,1,IPS,No,14 inches,1920 x 1080 pixels,~ 157,No,45%NTSC,No,1 x HDMI 2.1 Port,Yes,Yes,Yes,"Full-size, ash silver keyboard",Yes,Dual array Digital Microphone,Dual speakers,No,Intel Core i5,Deca Core Turbo Boost Upto 4.4 GHz,12 MB,INTEL,12th Gen,Intel Iris Xe Graphics,,16 GB DDR4,512 GB,,,1,2,0
HP,18195075.0,Core i7,Netbook,Windows 11 Home,322 x 210 x 19.9 mm,1.51 kg,1,IPS,No,14 inches,1920 x 1080 pixels,~ 157,No,"250 nits, 45% NTSC",No,1 x HDMI 2.1 Port,Yes,Yes,Yes,"Full-size, ash silver keyboard",Yes,Dual array Digital Microphone,Dual speakers,No,Intel Core i7,Deca Core Turbo Boost Upto 4.7 GHz,12 MB,INTEL,12th Gen,Intel Iris Xe Graphics,,16 GB DDR4,512 GB,,,1,2,0
MSI,10181700.0,Core i5,Netbook,Windows 10 Home,397 x 260 x 23 mm,2.2 kg,1,IPS-Level,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Thin Bezel, 45% NTSC",,1 x HDMI Port,Yes,Yes,Yes,Steelseries RED Backlit Keyboard,Yes,"Built-in Microphone
",,No,Intel Core i5,"2.5 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,10th Gen,Nvidia GTX1650 MaxQ,GDDR6  4 GB,8 GB DDR4,256 GB,,"Laptop, AC Adapter
",1,3,0
Lenovo,34504461.45,Core i7,Netbook,Windows 11 Home,,,1,QHD,No,16 inches,2560 x 1440 pixels,~ 184,Yes,,,,Yes,Yes,Yes,"Backlit, English, Yes",Yes,Yes,,No,Intel Core i7,"1.9 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3070,GDDR6 8 GB,32 GB DDR4,1 TB,,"Laptop, Power Adapter, User Guide, Warranty Documents",0,4,0
Lenovo,11782489.5,Core i5,Netbook,Windows 11 Home,360 x 252 x 24 mm,2.25 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120 Hz Refresh Rate, 250nits Anti-glare, 45% NTSC, DC dimmer",Integrated 100/1000 Gigabit Ethernet LAN,1 x HDMI Port,Yes,Yes,Yes,White Backlit English Keyboard,Yes,2x Array Microphones,Dual Speakers,No,Intel Core i5,"2.5 GHz, Quad Core Turbo Boost Upto 3.2 GHz",8 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,512 GB,,,1,2,0
Acer,81535619.25,Core i9,Netbook,Windows 10 Home,400 x 319 x 35 mm,3.9 kg,1,"QHD IPS, 120 Hz",No,17.3 inches,3840 x 2160 pixels,~ 188,No,DCI-P3 100%,,1 x HDMI Port,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Built-in Dual Microphone,Built-in Dual Speakers,No,Intel Core i9,"24 GHz, Octa Core Turbo Boost Upto 5 GHz",24,NVIDIA,11th Gen,NVIDIA GeForce RTX 3080,GDDR6 16 GB,64 GB DDR4,2 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",2,3,0
ASUS,44331687.45,Core i7,Ultrabook,Windows 11 Home,359.8 x 249.2 x 21.5 mm,2.34 kg,2,OLED 4K,Yes,15.6 inches,3840 x 2160 pixels,~ 282,No,"5mm-thin bezel with 93% screen-to-body ratio, 178° wide-view technology, 100% DCI-P3",No,1 x HDMI 2.0 Port,Yes,Yes,Yes,Full-size backlit with 1.4mm key travel,Yes,Array microphone with Cortana and Alexa voice-recognition support,,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6  6 GB,32 GB DDR4,1 TB,8 Cell Battery,"Laptop, Discrete Palm Rest, ASUS Pen",2,1,0
Dell,31108864.500000004,Core i7,Netbook,Windows 11,321 x 262 x 15 mm,1.84 kg,1,"LED, 144Hz",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,No,1 x HDMI 2.1 Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GEFORCE RTX 3050 Ti,GDDR6 4 GB,16 GB LPDDR5,512 GB,6 Cell Battery,,1,1,0
Dell,29093076.450000003,Core i5,Netbook,Windows 11,321 x 262 x 15 mm,1.84 kg,1,"LED, 144Hz",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,,No,1 x HDMI 2.1 Port,Yes,Yes,Yes,,Yes,Yes,,No,Intel Core i5,12 Core Turbo Boost Upto 4.5 GHz,18 MB,NVIDIA,12th Gen,NVIDIA GEFORCE RTX 3050,GDDR6 4 GB,16 GB LPDDR5,512 GB,6 Cell Battery,,1,1,0
ASUS,14516464.5,Core i5,Netbook,Windows 11 Home,359 x 256 x 24.5 mm,2.3 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit, IPS, Adaptive-Sync Display (144Hz Refresh Rate, 250 nits Brightness, 1000:1 Contrast, 45% NTSC Color Gamut, 62.5% SRGB)",10/100/1000 Mbps,1 x HDMI v2.0b Port,Yes,Yes,Yes,RGB Chiclet Keyboard,Yes,Built-In Array Microphone,Built-In Dual Speakers,No,Intel Core i5,"2.2 GHz, Hexa Core Turbo Boost Upto 4.5 GHz",12 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
Dell,23548009.5,Ryzen 7 ,Netbook,Windows 11 Home,,2.51 kg,1,"FHD, WVA AG ",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz 250 nits Brightness, Narrow Border",Yes,1 x HDMI 1.4 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Stereo Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,512 GB,6 Cell Battery,"Laptop, Battery, Adapter, Cables And User manuals",1,3,0
MSI,74875844.7,Core i7,Netbook,Windows 11 Home,358 x 267 x 23 mm,2.38 kg,2,QHD,No,17.3 inches,3840 x 2160 pixels,~ 255,Yes,240Hz DCI-P3 100% typical,Yes,1 x HDMI Port,Yes,Yes,Yes,Per key RGB steel series,Yes,Yes,Built it Dual Speakers,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX RTX 3080 Ti,GDDR6 16 GB,32 GB DDR5,2 TB,4 Cell Battery,"Laptop, battery, power adapter, user guide, Laptop Bag",1,0,1
MSI,29190745.35,Core i7,Netbook,Windows 11 Home,359 x 259 x 27 mm,2.47 kg,1,,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,165Hz 100% DCI-P3,,1 x HDMI Port,Yes,Yes,Yes,Per Key RGB Steelseries Keyboard,Yes,Yes,,No,Intel Core i7,"3 GHz, Octa Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3060,GDDR6  6 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, Laptop Bag, AC Adapter",1,2,1
Dell,15364939.5,Ryzen 5 ,Netbook,Windows 11 Home,357 x 272 x 26.9 mm,2.51 kg,1,FHD WVA AG,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz, 250 nits Brightness , Narrow Border",,1 x HDMI 2.1 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Yes,No,AMD Ryzen 5,Hexa Core Turbo Boost Upto 4.5 GHz,16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,8 GB DDR5,512 GB,3 Cell Battery,"Laptop, Battery, Adapter, Cables And User manuals",1,3,0
Dell,19984414.5,Ryzen 7 ,Netbook,Windows 11 Home,357 x 272 x 26.9 mm,2.51 kg,1,Full HD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz, 250 nits Brightness, Narrow Border",,1 x HDMI 2.1 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Stereo,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR5,512 GB,3 Cell Battery,"Laptop, battery, adapter, cables and user manuals",1,3,0
Dell,15459214.500000002,Ryzen 5 ,Netbook,Windows 11 Home,357 x 272 x 26.9 mm,2.51 kg,1,FHD WVA AG 120Hz 250 nits Narrow Border,No,15.6 inches,1920 x 1080 pixels,~ 141,No,,Yes,1 x HDMI 2.1 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Yes,No,AMD Ryzen 5,Hexa Core Turbo Boost Upto 4.5 GHz,16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR5,512 GB,3 Cell Battery,"Laptop, Battery, Adapter, Cables And User manuals",1,3,0
Dell,30920314.500000004,Ryzen 7 ,Netbook,Windows 11 Home,,2.51 kg,1,"FHD, WVA AG ",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz 250 nits Brightness, Narrow Border",Yes,1 x HDMI 1.4 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Stereo Speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR5,512 GB,6 Cell Battery,"Laptop, Battery, Adapter, Cables And User manuals",1,3,0
Dell,18853114.5,Ryzen 7 ,Netbook,Windows 11 Home,357 x 272 x 26.9 mm,2.51 kg,1,FHD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"120Hz, 250 nits Brightness, Narrow Border",Yes,1 x HDMI 2.1 Port,Yes,,Yes,"Orange, Yes",Yes,Yes,Yes,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR5,512 GB,3 Cell Battery,"Laptop, Battery, Adapter, Cables And User manuals",1,3,0
MSI,24509614.5,Core i7,Netbook,Windows 11 Home,358 x 267 x 23.4 mm,2.38 kg,2,"Quad HD, ",No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,"165 Hz Refresh Rate, DCI-P3 100%, IPS Level Panel",Yes,1 x HDMI 2.1 Port,Yes,,Yes,Per key RGB steelseries KB,Yes,Yes,Built-in Dual Speaker,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3070,GDDR6 8 GB,16 GB DDR4,1 TB,4 Cell Battery,"Laptop, battery, power adapter, user guide",0,3,0
MSI,16213414.500000002,Core i5,Netbook,Windows 11 Home,359 x 259 x 24.9 mm,2.25 kg,2,"FHD, IPS-Level Panel",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144 Hz, 45% NTSC",Yes,1 x HDMI Port,Yes,,Yes,Single Backlight Keyboard (Blue),Yes,Yes,2x 2W,No,Intel Core i5,12 Core Turbo Boost Upto 4.5 GHz,18 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, battery, power adapter, user guide",1,2,1
MSI,15082114.5,Core i5,Netbook,Windows 11 Home,359 x 259 x 24.9 mm,2.25 kg,2,"FHD, IPS-Level Panel ,144Hz",No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,45% NTSC,Yes,1 x HDMI Port,Yes,,Yes,Single Backlight Keyboard (Red),Yes,Yes,2x 2W,No,Intel Core i5,12 Core Turbo Boost Upto 4.5 GHz,18 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, battery, power adapter, user guide",1,2,1
MSI,16024864.500000002,Core i7,Netbook,Windows 10 Home,359 x 259 x 24.9 mm,2.25 kg,2,Full HD,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"144 Hz Refresh Rate, 45% NTSC, IPS Level Panel",Yes,1 x HDMI Port,Yes,,Yes,Single Backlight KB(Red),Yes,Yes,Built-in Dual Speaker,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Battery, Power Adapter, User Guide",1,2,1
ASUS,38462314.5,Ryzen 9 ,Netbook,Windows 11 Home,,,1,LED,No,17.3 inches,2560 x 1440 pixels,~ 170,Yes,Refresh Rate: 240Hz,10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,Yes,No,"Backlit Chiclet Keyboard Per-Key RGB, Yes",Yes,Built-in Array Microphone,speaker with Smart Amp Technology,No,AMD Ryzen 9,"3.3 GHz, Octa Core Turbo Boost Upto 4.9 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3070 Ti,GDDR6 8 GB,16 GB DDR5,1 TB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",2,2,0
HP,15913620.000000002,Ryzen 5 ,Netbook,Windows 11 Home,370 x 262 x 24 mm,2.48 kg,1,"IPS, 144Hz",No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,AMD Ryzen 5,Hexa Core Turbo Boost Upto 4.5 GHz,16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050 ,GDDR6  4 GB,8 GB DDR5,512 GB,4 Cell Battery,"Laptop, Power Adapter
",1,3,0
HP,18853114.5,Ryzen 5 ,Netbook,Windows 11 Home,370 x 262 x 24 mm,2.48 kg,1,"IPS, 144Hz",No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,,"Integrated 10/100/1000 GbE LAN
",1 x HDMI Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.7 GHz",16 MB,NVIDIA,6th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6  4 GB,16 GB DDR5,512 GB,4 Cell Battery,"Laptop, Power Adapter
",1,3,0
HP,14886022.5,Ryzen 7,Netbook,Windows 11 Home,370 x 262 x 24 mm,2.48 kg,1,IPS,No,16.1 inches,1920 x 1080 pixels,~ 137,Yes,"144 Hz Refresh Rate, Low Blue Light",Integrated 10/100/1000 GbE LAN,1 x HDMI Port,Yes,Yes,Yes,"Full-size, Ceramic White Keyboard With Numeric Keypad",Yes,"Dual Array Digital Microphones
",Dual speakers,No,AMD Ryzen 7,"3.2 GHz, Octa Core Turbo Boost Upto 4.4 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3050,GDDR6  4 GB,8 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adapter
",1,3,0
Lenovo,22287364.200000003,Core i7,Netbook,Windows 11 Home,362 x 261 x 26 mm,2.4 kg,1,IPS ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,120 Hz Refresh Rate,No,1 x HDMI Port,Yes,Yes,Yes,,Yes,Yes,Stereo speakers,No,Intel Core i7,"2.3 GHz, Octa Core Turbo Boost Upto 4.6 GHz",24 MB,NVIDIA,11th Gen,NVIDIA GeForce RTX 3050,GDDR6  4 GB,16 GB DDR4,512 GB,3 Cell Battery,"Laptop, Power Adapter, User Manual
",0,4,0
Acer,18853114.5,Ryzen 5 ,Netbook,Windows 11 Home,363.4 x 255 x 23.9 mm,2.4 kg,1,QHD IPS,No,15.6 inches,2560 x 1440 pixels,~ 188,Yes,,Killer Ethernet E2600,1 x HDMI Port,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Built-in Dual Microphone,Built-in Dual Speakers,No,AMD Ryzen 5,"3.3 GHz, Hexa Core Turbo Boost Upto 4.2 GHz",16 MB,NVIDIA,5th Gen,NVIDIA GeForce RTX 3060,GDDR6 6 GB,16 GB DDR4,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,3,0
ASUS,21681364.5,Core i7,Netbook,Windows 11 Home,395 x 264 x 25.4 mm,2.6 kg,1,"FHD, IPS-level",No,17.3 inches,1920 x 1080 pixels,~ 127,Yes,"Brightness 250nits, NTSC 45% SRGB 62.50% ",10/100/1000 Mbps,1 x HDMI 2.0b Port,Yes,,Yes,"Backlit Chiclet Keyboard RGB, Yes",Yes,Built-in array microphone,Dual Speakers,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB DDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
Acer,43364614.5,Core i7,Netbook,Windows 11 Home,358.5 x 262.4 x 19.9 mm,2.4 kg,1,WQXGA IPS,No,16 inches,2560 x 1600 pixels,~ 189,No,"High-Brightness : 500 nits ,Supporting 240 Hz, DCI-P3 100%",Killer Ethernet E3100G,1 x HDMI 2.1 Port,Yes,,Yes,"103- 104- 107-key FineTip RGB- with independent standard numeric keypad, Yes",Yes,Built-in Dual Microphone,Built-in Dual Speakers,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3070 Ti,GDDR6 8 GB,32 GB LPDDR5,2 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
Lenovo,13579182.450000001,Core i5,Netbook,Windows 11 Home,359 x 249.6 x 24.9 mm,2.2 kg,1,LED ,No,15.6 inches,1920 x 1080 pixels,~ 141,Yes,"Full HD LED Backlit IPS Display (120Hz Refresh Rate, 250 nits Brightness)",100/1000M,1 x HDMI v2.0 Port,Yes,Yes,Yes,"Blue LED Backlit English Keyboard, Yes",Yes,Dual Array Microphone,Built-in Dual Speakers,No,Intel Core i7,"2.6 GHz, Hexa Core Turbo Boost Upto 5 GHz",12 MB,NVIDIA,10th Gen,NVIDIA GeForce GTX 1650,GDDR6 4 GB,8 GB DDR4,512 GB,,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,2,0
ASUS,34879864.5,Core i9,Netbook,Windows 11 Home,302 x 220 x 5.6 mm,1.18 kg,1,WQUXGA,Yes,13.4 inches,3840 x 2400 pixels,~ 338,No,,No,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in 3-microphone array,Built-in Dual Speakers,No,Intel Core i9,"2.5 GHz, 14 Core",4 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050 Ti,GDDR6 4 GB,16 GB LPDDR5,1 TB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,0,1
ASUS,30467794.5,Core i7,Netbook,Windows 11 Home,302 x 220 x 5.6 mm,1.18 kg,1,WUXGA,Yes,13.4 inches,1920 x 1200 pixels,~ 169,No,"Refresh Rate 120Hz, Response Time 30ms, Viewing Angle 89/89/89/89, Panel Tech IPS-level, Brightness 500, Contrast 1000:1, Glossy display",No,,Yes,,Yes,"Backlit Chiclet Keyboard 1-Zone RGB, Yes",Yes,Built-in 3-microphone array,Built-in Dual Speakers,No,Intel Core i7,"3 GHz, 14 Core Turbo Boost Upto 4.7 GHz",24 MB,NVIDIA,12th Gen,NVIDIA GeForce RTX 3050,GDDR6 4 GB,16 GB LPDDR5,512 GB,4 Cell Battery,"Laptop, Power Adaptor, User Guide, Warranty Documents",1,0,1
